Akun;Kelompok;Jenis;Objek;Rincian Objek;Sub Rincian Objek;Uraian Akun
4;1;01;13;01;;Pajak Sarang Burung Walet
4;1;01;13;01;001;Pajak Sarang Burung Walet
4;1;01;14;;;Pajak Mineral Bukan Logam dan Batuan
4;1;01;14;01;;Pajak Asbes
4;1;01;14;01;001;Pajak Asbes
4;1;01;14;02;;Pajak Batu Tulis
4;1;01;14;02;001;Pajak Batu Tulis
4;1;01;14;03;;Pajak Batu Setengah Permata
4;1;01;14;03;001;Pajak Batu Setengah Permata
4;1;01;14;04;;Pajak Batu Kapur
4;1;01;14;04;001;Pajak Batu Kapur
4;1;01;14;05;;Pajak Batu Apung
4;1;01;14;05;001;Pajak Batu Apung
4;1;01;14;06;;Pajak Batu Permata
4;1;01;14;06;001;Pajak Batu Permata
4;1;01;14;07;;Pajak Bentonit
4;1;01;14;07;001;Pajak Bentonit
4;1;01;14;08;;Pajak Dolomit
4;1;01;14;08;001;Pajak Dolomit
4;1;01;14;09;;Pajak Felspar
4;1;01;14;09;001;Pajak Felspar
4;1;01;14;10;;Pajak Garam Batu (Halite)
4;1;01;14;10;001;Pajak Garam Batu (Halite)
4;1;01;14;11;;Pajak Grafit
4;1;01;14;11;001;Pajak Grafit
4;1;01;14;12;;Pajak Granit/Andesit
4;1;01;14;12;001;Pajak Granit/Andesit
4;1;01;14;13;;Pajak Gips
4;1;01;14;13;001;Pajak Gips
4;1;01;14;14;;Pajak Kalsit
4;1;01;14;14;001;Pajak Kalsit
4;1;01;14;15;;Pajak Kaolin
4;1;01;14;15;001;Pajak Kaolin
4;1;01;14;16;;Pajak Leusit
4;1;01;14;16;001;Pajak Leusit
4;1;01;14;17;;Pajak Magnesit
4;1;01;14;17;001;Pajak Magnesit
4;1;01;14;18;;Pajak Mika
4;1;01;14;18;001;Pajak Mika
4;1;01;14;19;;Pajak Marmer
4;1;01;14;19;001;Pajak Marmer
4;1;01;14;20;;Pajak Nitrat
4;1;01;14;20;001;Pajak Nitrat
4;1;01;14;21;;Pajak Opsidien
4;1;01;14;21;001;Pajak Opsidien
4;1;01;14;22;;Pajak Oker
4;1;01;14;22;001;Pajak Oker
4;1;01;14;23;;Pajak Pasir dan Kerikil
4;1;01;14;23;001;Pajak Pasir dan Kerikil
4;1;01;14;24;;Pajak Pasir Kuarsa
4;1;01;14;24;001;Pajak Pasir Kuarsa
4;1;01;14;25;;Pajak Perlit
4;1;01;14;25;001;Pajak Perlit
4;1;01;14;26;;Pajak Phospat
4;1;01;14;26;001;Pajak Phospat
4;1;01;14;27;;Pajak Talk
4;1;01;14;27;001;Pajak Talk
4;1;01;14;28;;Pajak Tanah Serap (Fullers Earth)
4;1;01;14;28;001;Pajak Tanah Serap (Fullers Earth)
4;1;01;14;29;;Pajak Tanah Diatome
4;1;01;14;29;001;Pajak Tanah Diatome
4;1;01;14;30;;Pajak Tanah Liat
4;1;01;14;30;001;Pajak Tanah Liat
4;1;01;14;31;;Pajak Tawas (Alum)
4;1;01;14;31;001;Pajak Tawas (Alum)
4;1;01;14;32;;Pajak Tras
4;1;01;14;32;001;Pajak Tras
4;1;01;14;33;;Pajak Yarosif
4;1;01;14;33;001;Pajak Yarosif
4;1;01;14;34;;Pajak Zeolit
4;1;01;14;34;001;Pajak Zeolit
4;1;01;14;35;;Pajak Basal
4;1;01;14;35;001;Pajak Basal
4;1;01;14;36;;Pajak Trakit
4;1;01;14;36;001;Pajak Trakit
4;1;01;14;37;;"Pajak Mineral bukan Logam dan Batuan
Lainnya"
4;1;01;14;37;001;"Pajak Mineral bukan Logam dan Batuan
Lainnya"
4;1;01;15;;;"Pajak Bumi dan Bangunan Perdesaan dan
Perkotaan (PBBP2)"
4;1;01;15;01;;PBBP2
4;1;01;15;01;001;PBBP2
4;1;01;16;;;"Bea Perolehan Hak Atas Tanah dan
Bangunan (BPHTB)"
4;1;01;16;01;;BPHTB-Pemindahan Hak
4;1;01;16;01;001;BPHTB-Pemindahan Hak
4;1;01;16;02;;BPHTB-Pemberian Hak Baru
4;1;01;16;02;001;BPHTB-Pemberian Hak Baru
4;1;02;;;;Retribusi Daerah
4;1;02;01;;;Retribusi Jasa Umum
4;1;02;01;01;;Retribusi Pelayanan Kesehatan
4;1;02;01;01;001;Retribusi Pelayanan Kesehatan di Puskesmas
4;1;02;01;01;002;"Retribusi Pelayanan Kesehatan di Puskesmas
Keliling"
4;1;02;01;01;003;"Retribusi Pelayanan Kesehatan di Puskesmas
Pembantu"
4;1;02;01;01;004;"Retribusi Pelayanan Kesehatan di Balai
Pengobatan"
4;1;02;01;01;005;Retribusi
4;1;02;01;01;006;Retribusi
4;1;02;01;02;;"Retribusi
Kebersihan"
4;1;02;01;02;001;"Retribusi
Kebersihan"
4;1;02;01;03;;"Pelayanan Retribusi
Pengabuan Mayat"
4;1;02;01;03;001;"dan Penggalian
Pembakaran/Pengabuan Mayat"
4;1;02;01;03;002;"Sewa Retribusi
Pembakaran/Pengabuan Mayat"
4;1;02;01;04;;Retribusi
4;1;02;01;04;001;"Retribusi Penyediaan Pelayanan Parkir di
Tepi Jalan Umum"
4;1;02;01;05;;Retribusi Pelayanan Pasar
4;1;02;01;05;001;Retribusi Pelataran
4;1;02;01;05;002;Retribusi Los
4;1;02;01;05;003;Retribusi Kios
4;1;02;01;06;;Retribusi Pengujian Kendaraan Bermotor
4;1;02;01;06;001;Retribusi Pengujian Kendaraan Bermotor
4;1;02;01;07;;"Retribusi
Kebakaran"
4;1;02;01;07;001;Retribusi
4;1;02;01;07;002;Retribusi
4;1;02;01;07;003;Retribusi
4;1;02;01;08;004;Retribusi Penyediaan Peta Tematik
4;1;02;01;08;005;Retribusi Penyediaan Peta Teknis (Struktur)
4;1;02;01;09;;"Retribusi
Kakus"
4;1;02;01;09;001;"Retribusi
Kakus"
4;1;02;01;10;;Retribusi Pengolahan Limbah Cair
4;1;02;01;10;001;Retribusi Rumah Tangga
4;1;02;01;10;002;Retribusi Perkantoran
4;1;02;01;10;003;Retribusi Industri
4;1;02;01;11;;Retribusi Pelayanan Tera/Tera Ulang
4;1;02;01;11;001;Retribusi
4;1;02;01;11;002;"Retribusi Pengujian Barang dalam Keadaan
Terbungkus"
4;1;02;01;12;;Retribusi Pelayanan Pendidikan
4;1;02;01;12;001;"Retribusi Pelayanan Penyelenggaraan
Pendidikan Teknis"
4;1;02;01;12;002;"Retribusi Pelayanan Penyelenggaraan
Pelatihan Teknis"
4;1;02;01;12;003;"Retribusi Pelayanan Penyelenggaraan
Pendidikan dan Pelatihan Teknis"
4;1;02;01;13;;"Retribusi Pengawasan dan Pengendalian
Menara Telekomunikasi"
4;1;02;01;13;001;"Retribusi Pengawasan dan Pengendalian
Menara Telekomunikasi"
4;1;02;02;;;Retribusi Jasa Usaha
4;1;02;02;01;;Retribusi Pemakaian Kekayaan Daerah
4;1;02;02;01;001;Retribusi Penyewaan Tanah dan Bangunan
4;1;02;02;01;002;Retribusi Penyewaan Tanah
4;1;02;02;01;003;Retribusi Penyewaan Bangunan
4;1;02;02;01;004;Retribusi Pemakaian Laboratorium
4;1;02;02;01;005;Retribusi Pemakaian Ruangan
4;1;02;02;01;006;Retribusi Pemakaian Kendaraan Bermotor
4;1;02;02;02;;Retribusi Pasar Grosir dan/atau Pertokoan
4;1;02;02;02;001;"Retribusi Penyediaan Fasilitas Pasar Grosir
Berbagai Jenis Barang yang Dikontrakkan"
4;1;02;02;02;002;"Retribusi Penyediaan Fasilitas
Pasar/Pertokoan yang Dikontrakkan"
4;1;02;02;03;;Retribusi Tempat Pelelangan
4;1;02;02;03;001;Retribusi Penyediaan Tempat Pelelangan
4;1;02;02;03;002;"Retribusi Penyediaan Fasilitas Lainnya di
Tempat Pelelangan"
4;1;02;02;04;;Retribusi Terminal
4;1;02;02;04;001;"Retribusi Pelayanan Penyediaan Tempat
Parkir untuk Kendaraan Penumpang dan
Bus Umum"
4;1;02;02;04;002;"Retribusi
Kegiatan"
4;1;02;02;04;003;"Retribusi
Lainnya di"
4;1;02;02;05;;Retribusi Tempat Khusus Parkir
4;1;02;02;05;001;Retribusi Pelayanan Tempat Khusus Parkir
4;1;02;02;06;;"Retribusi
Penginapan/Pesanggrahan/ Vila"
4;1;02;02;06;001;"Pelayanan Retribusi
Pesanggrahan/Vila"
4;1;02;02;07;;Retribusi Rumah Potong Hewan
4;1;02;02;07;001;Retribusi Pelayanan Rumah Potong Hewan
4;1;02;02;08;;Retribusi Pelayanan Kepelabuhanan
4;1;02;02;08;001;Retribusi Pelayanan Kepelabuhanan
4;1;02;02;09;;Retribusi Tempat Rekreasi dan Olahraga
4;1;02;02;09;001;"Retribusi
Olahraga"
4;1;02;02;10;;Retribusi Penyeberangan di Air
4;1;02;02;10;001;Retribusi Pelayanan Penyeberangan Orang
4;1;02;02;10;002;Retribusi Pelayanan Penyeberangan Barang
4;1;02;02;11;;Retribusi Penjualan Produksi Usaha Daerah
4;1;02;02;11;001;Retribusi
4;1;02;02;11;002;Retribusi
4;1;02;02;11;003;Retribusi
4;1;02;02;11;004;"selain Daerah
Ternak, dan Ikan"
4;1;02;03;;;Retribusi Perizinan Tertentu
4;1;02;03;01;;Retribusi Izin Mendirikan Bangunan
4;1;02;03;01;001;"Retribusi
Bangunan"
4;1;02;03;02;;"Izin Retribusi
Beralkohol"
4;1;02;03;02;001;"Pemberian Retribusi
Minuman Beralkohol"
4;1;02;03;03;;Retribusi
4;1;02;03;03;001;Retribusi
4;1;02;03;04;;Retribusi Izin Usaha Perikanan
4;1;02;03;04;001;"Pemberian Retribusi
Penangkapan Ikan"
4;1;02;03;04;002;"Pemberian Retribusi
Pembudidayaan Ikan"
4;1;02;03;05;;Retribusi Pengendalian Lalu Lintas
4;1;02;03;05;001;Retribusi
4;1;02;03;05;002;"Retribusi
Penggunaan"
4;1;02;03;05;003;Retribusi
4;1;02;03;06;;"Retribusi Perpanjangan Izin Mempekerjakan
Tenaga Kerja Asing (IMTA)"
4;1;02;03;06;001;"Retribusi Pemberian Perpanjangan IMTA
kepada Pemberi Kerja Tenaga Kerja Asing"
4;1;03;;;;"Hasil Pengelolaan Kekayaan Daerah yang
Dipisahkan"
4;1;03;01;;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMN"
4;1;03;01;01;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMN"
4;1;03;01;01;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMN …"
4;1;03;01;01;002;Dst …
4;1;03;02;;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD"
4;1;03;02;01;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Lembaga Keuangan)"
4;1;03;02;01;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Lembaga Keuangan) …"
4;1;03;02;01;002;Dst …
4;1;03;02;02;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Aneka Usaha)"
4;1;03;02;02;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Aneka Usaha) …"
4;1;03;02;02;002;Dst …
4;1;03;02;03;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Bidang Air Minum)"
4;1;03;02;03;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada Perusahaan Milik Daerah/BUMD
(Bidang Air Minum) …"
4;1;03;02;03;002;Dst …
4;1;03;02;04;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Bidang Limbah)"
4;1;03;02;04;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Bidang Limbah) …"
4;1;03;02;04;002;Dst …
4;1;03;02;05;;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Bidang Sanitasi)"
4;1;03;02;05;001;"Bagian Laba yang Dibagikan kepada
Pemerintah Daerah (Dividen) atas Penyertaan
Modal pada BUMD (Bidang Sanitasi) …"
4;1;03;02;05;002;Dst …
4;1;04;;;;Lain-lain PAD yang Sah
4;1;04;01;;;Hasil Penjualan BMD yang Tidak Dipisahkan
4;1;04;01;01;;Hasil Penjualan Tanah
4;1;04;01;01;001;Hasil Penjualan Tanah
4;1;04;01;02;;Hasil Penjualan Peralatan dan Mesin
4;1;04;01;02;001;Hasil Penjualan Alat Besar
4;1;04;01;02;002;Hasil Penjualan Alat Angkutan
4;1;04;01;02;003;Hasil Penjualan Alat Bengkel dan Alat Ukur
4;1;04;01;02;004;Hasil Penjualan Alat Pertanian
4;1;04;01;02;005;"Hasil Penjualan Alat Kantor dan Rumah
Tangga"
4;1;04;01;02;006;"Hasil Penjualan Alat Studio, Komunikasi,
dan Pemancar"
4;1;04;01;02;007;"Hasil Penjualan Alat Kedokteran dan
Kesehatan"
4;1;04;01;02;008;Hasil Penjualan Alat Laboratorium
4;1;04;01;02;010;Hasil Penjualan Komputer
4;1;04;01;02;011;Hasil Penjualan Alat Eksplorasi
4;1;04;01;02;012;Hasil Penjualan Alat Pengeboran
4;1;04;01;02;013;"Hasil Penjualan Alat Produksi, Pengolahan,
dan Pemurnian"
4;1;04;01;02;014;Hasil Penjualan Alat Bantu Eksplorasi
4;1;04;01;02;015;Hasil Penjualan Alat Keselamatan Kerja
4;1;04;01;02;016;Hasil Penjualan Alat Peraga
4;1;04;01;02;017;Hasil Penjualan Peralatan Proses/Produksi
4;1;04;01;02;018;Hasil Penjualan Rambu-rambu
4;1;04;01;02;019;Hasil Penjualan Peralatan Olahraga
4;1;04;01;03;;Hasil Penjualan Gedung dan Bangunan
4;1;04;01;03;001;Hasil Penjualan Bangunan Gedung
4;1;04;01;03;002;Hasil Penjualan Monumen
4;1;04;01;03;003;Hasil Penjualan Bangunan Menara
4;1;04;01;03;004;Hasil Penjualan Tugu Titik Kontrol/Pasti
4;1;04;01;04;;Hasil Penjualan Jalan, Jaringan, dan Irigasi
4;1;04;01;04;001;Hasil Penjualan Jalan dan Jembatan
4;1;04;01;04;002;Hasil Penjualan Bangunan Air
4;1;04;01;04;003;Hasil Penjualan Instalasi
4;1;04;01;04;004;Hasil Penjualan Jaringan
4;1;04;01;05;;Hasil Penjualan Aset Tetap Lainnya
4;1;04;01;05;001;Hasil Penjualan Bahan Perpustakaan
4;1;04;01;05;002;"Hasil Penjualan Barang Bercorak
Kesenian/Kebudayaan/Olahraga"
4;1;04;01;05;003;Hasil Penjualan Hewan
4;1;04;01;05;004;Hasil Penjualan Biota Perairan
4;1;04;01;05;005;Hasil Penjualan Tanaman
4;1;04;01;05;006;Hasil Penjualan Barang Koleksi Non Budaya
4;1;04;01;05;007;Hasil Penjualan Aset Tetap Dalam Renovasi
4;1;04;01;06;;Hasil Penjualan Aset Lainnya
4;1;04;01;06;001;"Hasil Penjualan Aset Lainnya-Aset Tidak
Berwujud"
4;1;04;01;06;002;Hasil Penjualan Aset Lainnya-Aset Lain-Lain
4;1;04;02;;;"Hasil Selisih Lebih Tukar Menukar BMD
yang Tidak Dipisahkan"
4;1;04;02;01;;Hasil Selisih Lebih Tukar Menukar Tanah
4;1;04;02;01;001;Hasil Selisih Lebih Tukar Menukar Tanah
4;1;04;02;02;;"Hasil Selisih Lebih Tukar Menukar Peralatan
dan Mesin"
4;1;04;02;02;001;Hasil Selisih Lebih Tukar Menukar Alat Besar
